keyword,tech_1,tech_1_confidence,tech_2,tech_2_confidence,notes
Office,Office Test,0.14,Add-ins,0.12,Office Template Macros (confidence: 0.1); VBA Stomping (confidence: 0.07); Office Application Startup (confidence: 0.06); Parent PID Spoofing (confidence: 0.04); Exploitation for Client Execution (confidence: 0.04); Trusted Relationship (confidence: 0.03); Template Injection (confidence: 0.03); Additional Email Delegate Permissions (confidence: 0.03); Distributed Component Object Model (confidence: 0.03); Mark-of-the-Web Bypass (confidence: 0.03); Dynamic Data Exchange (confidence: 0.03); Remote Email Collection (confidence: 0.03); Email Addresses (confidence: 0.03); Domain Properties (confidence: 0.03); Cloud Account (confidence: 0.01); Credential Stuffing (confidence: 0.01); Password Spraying (confidence: 0.01); Password Guessing (confidence: 0.01); Cloud Groups (confidence: 0.01); Additional Cloud Roles (confidence: 0.01); Stored Data Manipulation (confidence: 0.01); Spearphishing Attachment (confidence: 0.01); Visual Basic (confidence: 0.01); Data Encrypted for Impact (confidence: 0.01); DNS (confidence: 0.01); Disable Cloud Logs (confidence: 0.01); Serverless Execution (confidence: 0.01)
remote,Remote Services,0.04,Exploitation of Remote Services,0.04,Modify Registry (confidence: 0.03); PubPrn (confidence: 0.03); SMB/Windows Admin Shares (confidence: 0.03); Scheduled Task/Job (confidence: 0.02); Remote Access Software (confidence: 0.02); Forced Authentication (confidence: 0.02); External Remote Services (confidence: 0.02); Distributed Component Object Model (confidence: 0.02); Taint Shared Content (confidence: 0.02); Windows Management Instrumentation (confidence: 0.02); RDP Hijacking (confidence: 0.02); Remote Service Session Hijacking (confidence: 0.02); PowerShell (confidence: 0.01); Access Token Manipulation (confidence: 0.01); System Time Discovery (confidence: 0.01); Modify Authentication Process (confidence: 0.01); Service Execution (confidence: 0.01); Remote Desktop Protocol (confidence: 0.01); Windows Remote Management (confidence: 0.01); Valid Accounts (confidence: 0.01); SSH (confidence: 0.01); Local Account (confidence: 0.01); Data from Configuration Repository (confidence: 0.01); Network Service Discovery (confidence: 0.01); CMSTP (confidence: 0.01); Container Administration Command (confidence: 0.01); Remote System Discovery (confidence: 0.01); Network Share Discovery (confidence: 0.01); Steal or Forge Authentication Certificates (confidence: 0.01); XSL Script Processing (confidence: 0.01); File and Directory Permissions Modification (confidence: 0.01); Data Encrypted for Impact (confidence: 0.01); Steal Application Access Token (confidence: 0.01); XDG Autostart Entries (confidence: 0.01); System Shutdown/Reboot (confidence: 0.01); Steal Web Session Cookie (confidence: 0.01); Data Destruction (confidence: 0.01); Create Account (confidence: 0.01); Exploitation for Client Execution (confidence: 0.01); Deobfuscate/Decode Files or Information (confidence: 0.01); At (confidence: 0.01); Automated Collection (confidence: 0.01); Screen Capture (confidence: 0.01); Multi-Stage Channels (confidence: 0.01); Software Deployment Tools (confidence: 0.01); Application Layer Protocol (confidence: 0.01); Command and Scripting Interpreter (confidence: 0.01); System Network Connections Discovery (confidence: 0.01); Data from Network Shared Drive (confidence: 0.01); Office Template Macros (confidence: 0.01); Cloud Account (confidence: 0.01); Scheduled Task (confidence: 0.01); Exfiltration to Cloud Storage (confidence: 0.01); Default Accounts (confidence: 0.01); Local Accounts (confidence: 0.01); Cloud Accounts (confidence: 0.01); Web Protocols (confidence: 0.01); File Transfer Protocols (confidence: 0.01); Mail Protocols (confidence: 0.01); DNS (confidence: 0.01); SSH Authorized Keys (confidence: 0.01); Verclsid (confidence: 0.01); Malware (confidence: 0.01); Malware (confidence: 0.01); SNMP (MIB Dump) (confidence: 0.01); Network Device CLI (confidence: 0.01); Active Setup (confidence: 0.01); Build Image on Host (confidence: 0.01); DLL Search Order Hijacking (confidence: 0.01); AppleScript (confidence: 0.01); Dynamic-link Library Injection (confidence: 0.01); Phishing (confidence: 0.01); Registry Run Keys / Startup Folder (confidence: 0.01); Accessibility Features (confidence: 0.01); Domain Account (confidence: 0.01); Terminal Services DLL (confidence: 0.01); Bypass User Account Control (confidence: 0.01); Pass the Hash (confidence: 0.01); Pass the Ticket (confidence: 0.01); Application Access Token (confidence: 0.01); Credentials In Files (confidence: 0.01); VNC (confidence: 0.01); DCSync (confidence: 0.01); Inter-Process Communication (confidence: 0.01); Archive via Utility (confidence: 0.01); Cloud Account (confidence: 0.01); SSH Hijacking (confidence: 0.01); System Network Configuration Discovery (confidence: 0.01)
string,Command Obfuscation,0.33,Dynamic API Resolution,0.33,Right-to-Left Override (confidence: 0.33)
Java,Hidden Window,0.33,Component Object Model,0.33,Compiled HTML File (confidence: 0.33)
malware,Malware,0.06,Malware,0.04,Replication Through Removable Media (confidence: 0.04); Dynamic API Resolution (confidence: 0.04); Obtain Capabilities (confidence: 0.03); Dynamic Resolution (confidence: 0.03); Masquerade File Type (confidence: 0.02); Time Based Evasion (confidence: 0.02); Resource Hijacking (confidence: 0.02); Sudo and Sudo Caching (confidence: 0.02); Indicator Removal from Tools (confidence: 0.02); Taint Shared Content (confidence: 0.02); Phishing (confidence: 0.01); Shortcut Modification (confidence: 0.01); Domain Generation Algorithms (confidence: 0.01); GUI Input Capture (confidence: 0.01); Binary Padding (confidence: 0.01); User Execution (confidence: 0.01); Upload Malware (confidence: 0.01); Setuid and Setgid (confidence: 0.01); Virtualization/Sandbox Evasion (confidence: 0.01); Debugger Evasion (confidence: 0.01); Data Encrypted for Impact (confidence: 0.01); Traffic Signaling (confidence: 0.01); Timestomp (confidence: 0.01); Control Panel (confidence: 0.01); Web Session Cookie (confidence: 0.01); Steganography (confidence: 0.01); Screensaver (confidence: 0.01); Registry Run Keys / Startup Folder (confidence: 0.01); Unix Shell Configuration Modification (confidence: 0.01); Acquire Access (confidence: 0.01); Rundll32 (confidence: 0.01); File and Directory Permissions Modification (confidence: 0.01); Valid Accounts (confidence: 0.01); Web Service (confidence: 0.01); Video Capture (confidence: 0.01); Shared Modules (confidence: 0.01); Deobfuscate/Decode Files or Information (confidence: 0.01); Remote Access Software (confidence: 0.01); Data Destruction (confidence: 0.01); Event Triggered Execution (confidence: 0.01); Internal Spearphishing (confidence: 0.01); Steal Web Session Cookie (confidence: 0.01); Pre-OS Boot (confidence: 0.01); Bootkit (confidence: 0.01); Extra Window Memory Injection (confidence: 0.01); Launch Agent (confidence: 0.01); Code Signing (confidence: 0.01); Security Software Discovery (confidence: 0.01); Adversary-in-the-Middle (confidence: 0.01); Stage Capabilities (confidence: 0.01); Link Target (confidence: 0.01); Deploy Container (confidence: 0.01); Build Image on Host (confidence: 0.01); System Location Discovery (confidence: 0.01); Email Hiding Rules (confidence: 0.01); Double File Extension (confidence: 0.01); System Language Discovery (confidence: 0.01); Reflective Code Loading (confidence: 0.01); Login Items (confidence: 0.01); DHCP Spoofing (confidence: 0.01); Serverless Execution (confidence: 0.01); Clear Persistence (confidence: 0.01); Stripped Payloads (confidence: 0.01); Embedded Payloads (confidence: 0.01); Malvertising (confidence: 0.01); Upload Tool (confidence: 0.01); Active Setup (confidence: 0.01); Securityd Memory (confidence: 0.01); Tool (confidence: 0.01); Disk Wipe (confidence: 0.01); Disk Content Wipe (confidence: 0.01); Disk Structure Wipe (confidence: 0.01); Install Root Certificate (confidence: 0.01); Spearphishing Attachment (confidence: 0.01); Spearphishing Link (confidence: 0.01); System Checks (confidence: 0.01); User Activity Based Checks (confidence: 0.01); Dead Drop Resolver (confidence: 0.01); Encrypted Channel (confidence: 0.01); Environmental Keying (confidence: 0.01); Port Knocking (confidence: 0.01); Domains (confidence: 0.01); DNS Server (confidence: 0.01); Develop Capabilities (confidence: 0.01); Rootkit (confidence: 0.01)
domain,Domain Policy Modification,0.1,Domain Trust Modification,0.06,Domains (confidence: 0.06); Domain Trust Discovery (confidence: 0.05); Domains (confidence: 0.05); Domain Controller Authentication (confidence: 0.04); Group Policy Modification (confidence: 0.04); Domain Accounts (confidence: 0.03); Group Policy Preferences (confidence: 0.02); Domain Account (confidence: 0.02); Golden Ticket (confidence: 0.02); Password Filter DLL (confidence: 0.02); Domain Generation Algorithms (confidence: 0.02); NTDS (confidence: 0.02); Domain Account (confidence: 0.02); Steal or Forge Authentication Certificates (confidence: 0.02); DCSync (confidence: 0.02); Cloud Account (confidence: 0.02); Cached Domain Credentials (confidence: 0.02); Valid Accounts (confidence: 0.02); Network Provider DLL (confidence: 0.02); Remote Services (confidence: 0.02); Fast Flux DNS (confidence: 0.02); Domain Fronting (confidence: 0.02); Group Policy Discovery (confidence: 0.02); AS-REP Roasting (confidence: 0.02); WHOIS (confidence: 0.02); Domain Properties (confidence: 0.02); Domain Groups (confidence: 0.01); Exploitation for Credential Access (confidence: 0.01); PowerShell Profile (confidence: 0.01); Multi-Factor Authentication (confidence: 0.01); Rogue Domain Controller (confidence: 0.01); Create Account (confidence: 0.01); Link Target (confidence: 0.01); System Time Discovery (confidence: 0.01); Account Manipulation (confidence: 0.01); Cloud Services (confidence: 0.01); Software Deployment Tools (confidence: 0.01); LSASS Driver (confidence: 0.01); SMB/Windows Admin Shares (confidence: 0.01); Pass the Ticket (confidence: 0.01); PubPrn (confidence: 0.01); Dynamic Resolution (confidence: 0.01); Password Spraying (confidence: 0.01); LSASS Memory (confidence: 0.01); Drive-by Target (confidence: 0.01); Kerberoasting (confidence: 0.01); Gather Victim Network Information (confidence: 0.01); Digital Certificates (confidence: 0.01); Steal or Forge Kerberos Tickets (confidence: 0.01); Malvertising (confidence: 0.01); Email Account (confidence: 0.01); Credentials from Web Browsers (confidence: 0.01)
Oracle,Credential Stuffing,0.33,Password Spraying,0.33,Password Guessing (confidence: 0.33)
command,Clear Command History,0.06,Impair Command History Logging,0.04,Windows Command Shell (confidence: 0.03); Multi-Stage Channels (confidence: 0.02); Domain Generation Algorithms (confidence: 0.02); Dynamic Resolution (confidence: 0.02); SSH Authorized Keys (confidence: 0.02); Container Administration Command (confidence: 0.02); Command Obfuscation (confidence: 0.01); Exfiltration Over Alternative Protocol (confidence: 0.01); Steganography (confidence: 0.01); Network Device CLI (confidence: 0.01); Patch System Image (confidence: 0.01); Proxy (confidence: 0.01); Clear Mailbox Data (confidence: 0.01); Additional Cloud Credentials (confidence: 0.01); DNS Calculation (confidence: 0.01); Internal Proxy (confidence: 0.01); Local Account (confidence: 0.01); Clear Windows Event Logs (confidence: 0.01); Hidden Users (confidence: 0.01); Dynamic Linker Hijacking (confidence: 0.01); Path Interception by PATH Environment Variable (confidence: 0.01); Browser Extensions (confidence: 0.01); AppleScript (confidence: 0.01); Traffic Signaling (confidence: 0.01); Exfiltration Over Bluetooth (confidence: 0.01); Network Share Discovery (confidence: 0.01); Unix Shell (confidence: 0.01); Cloud Account (confidence: 0.01); External Proxy (confidence: 0.01); Hidden Files and Directories (confidence: 0.01); Trap (confidence: 0.01); Setuid and Setgid (confidence: 0.01); Exfiltration Over Other Network Medium (confidence: 0.01); Exfiltration Over Asymmetric Encrypted Non-C2 Protocol (confidence: 0.01); Junk Data (confidence: 0.01); Exfiltration Over C2 Channel (confidence: 0.01); Cloud Infrastructure Discovery (confidence: 0.01); Login Items (confidence: 0.01); Exfiltration Over Unencrypted Non-C2 Protocol (confidence: 0.01); MMC (confidence: 0.01); Socket Filters (confidence: 0.01); Protocol Impersonation (confidence: 0.01); Exfiltration Over Symmetric Encrypted Non-C2 Protocol (confidence: 0.01); LC_LOAD_DYLIB Addition (confidence: 0.0); Fallback Channels (confidence: 0.0); Control Panel (confidence: 0.0); Rundll32 (confidence: 0.0); Data from Removable Media (confidence: 0.0); Emond (confidence: 0.0); Launch Agent (confidence: 0.0); Scheduled Task (confidence: 0.0); XDG Autostart Entries (confidence: 0.0); Domain Account (confidence: 0.0); Accessibility Features (confidence: 0.0); Transfer Data to Cloud Account (confidence: 0.0); System Owner/User Discovery (confidence: 0.0); Communication Through Removable Media (confidence: 0.0); Remote Access Software (confidence: 0.0); Indirect Command Execution (confidence: 0.0); System Information Discovery (confidence: 0.0); Ingress Tool Transfer (confidence: 0.0); Automated Collection (confidence: 0.0); Data Encoding (confidence: 0.0); Account Discovery (confidence: 0.0); File and Directory Discovery (confidence: 0.0); Access Token Manipulation (confidence: 0.0); Taint Shared Content (confidence: 0.0); Password Policy Discovery (confidence: 0.0); Data Staged (confidence: 0.0); Deobfuscate/Decode Files or Information (confidence: 0.0); Indicator Removal (confidence: 0.0); Command and Scripting Interpreter (confidence: 0.0); Process Discovery (confidence: 0.0); Data from Network Shared Drive (confidence: 0.0); Native API (confidence: 0.0); Disable Windows Event Logging (confidence: 0.0); Sudo and Sudo Caching (confidence: 0.0); Network Share Connection Removal (confidence: 0.0); Bidirectional Communication (confidence: 0.0); One-Way Communication (confidence: 0.0); Standard Encoding (confidence: 0.0); Non-Standard Encoding (confidence: 0.0); Encrypted Channel (confidence: 0.0); Symmetric Cryptography (confidence: 0.0); Asymmetric Cryptography (confidence: 0.0); JavaScript (confidence: 0.0); Port Knocking (confidence: 0.0); Systemd Timers (confidence: 0.0); Network Boundary Bridging (confidence: 0.0); Stage Capabilities (confidence: 0.0); Escape to Host (confidence: 0.0); IIS Components (confidence: 0.0); Mavinject (confidence: 0.0); Cloud API (confidence: 0.0); Serverless (confidence: 0.0); Serverless (confidence: 0.0); Cloud Services (confidence: 0.0); Dead Drop Resolver (confidence: 0.0); Remote Data Staging (confidence: 0.0); Local Data Staging (confidence: 0.0); Inter-Process Communication (confidence: 0.0); PubPrn (confidence: 0.0); Bash History (confidence: 0.0); Gatekeeper Bypass (confidence: 0.0); Right-to-Left Override (confidence: 0.0); Windows Remote Management (confidence: 0.0); Security Account Manager (confidence: 0.0); Group Policy Preferences (confidence: 0.0); GUI Input Capture (confidence: 0.0); Dynamic Data Exchange (confidence: 0.0); Fast Flux DNS (confidence: 0.0); Keychain (confidence: 0.0); Exfiltration to Text Storage Sites (confidence: 0.0); Local Account (confidence: 0.0); Cloud Groups (confidence: 0.0); Exfiltration Over Web Service (confidence: 0.0); PowerShell (confidence: 0.0); Exfiltration to Code Repository (confidence: 0.0); Exfiltration to Cloud Storage (confidence: 0.0); Data Obfuscation (confidence: 0.0)
DNS,DNS Server,0.12,DNS Server,0.12,DNS (confidence: 0.1); DNS/Passive DNS (confidence: 0.1); DNS (confidence: 0.09); Fast Flux DNS (confidence: 0.07); Domains (confidence: 0.04); Adversary-in-the-Middle (confidence: 0.04); DNS Calculation (confidence: 0.04); IP Addresses (confidence: 0.02); Domain Properties (confidence: 0.02); Gather Victim Network Information (confidence: 0.02); Search Open Technical Databases (confidence: 0.02); Compromise Infrastructure (confidence: 0.02); Endpoint Denial of Service (confidence: 0.02); Network Denial of Service (confidence: 0.01); Service Exhaustion Flood (confidence: 0.01); Application Layer Protocol (confidence: 0.01); LLMNR/NBT-NS Poisoning and SMB Relay (confidence: 0.01); DHCP Spoofing (confidence: 0.01); Reflection Amplification (confidence: 0.01); Exfiltration Over Unencrypted Non-C2 Protocol (confidence: 0.01); Protocol Tunneling (confidence: 0.01); Network Topology (confidence: 0.01); WHOIS (confidence: 0.01); Exfiltration Over Alternative Protocol (confidence: 0.01)
Reader,Exploitation for Client Execution,1.0,,,
access,Application Access Token,0.03,Steal Application Access Token,0.03,Acquire Access (confidence: 0.02); Steal or Forge Kerberos Tickets (confidence: 0.01); Access Token Manipulation (confidence: 0.01); Windows File and Directory Permissions Modification (confidence: 0.01); Pass the Ticket (confidence: 0.01); Cloud Account (confidence: 0.01); Valid Accounts (confidence: 0.01); Data from Cloud Storage (confidence: 0.01); Multi-Factor Authentication Interception (confidence: 0.01); Direct Volume Access (confidence: 0.01); Device Registration (confidence: 0.01); Create Account (confidence: 0.01); Cloud Instance Metadata API (confidence: 0.01); Trusted Relationship (confidence: 0.01); Remote Access Software (confidence: 0.01); SID-History Injection (confidence: 0.01); Modify Authentication Process (confidence: 0.01); Domain Account (confidence: 0.01); Forced Authentication (confidence: 0.01); Multi-Factor Authentication (confidence: 0.01); Web Cookies (confidence: 0.01); Additional Cloud Credentials (confidence: 0.01); Local Account (confidence: 0.01); Forge Web Credentials (confidence: 0.01); Domain Controller Authentication (confidence: 0.01); Group Policy Modification (confidence: 0.01); Escape to Host (confidence: 0.01); File and Directory Permissions Modification (confidence: 0.01); Exploit Public-Facing Application (confidence: 0.01); Cloud Infrastructure Discovery (confidence: 0.01); Exploitation for Credential Access (confidence: 0.01); Hardware Additions (confidence: 0.01); Browser Extensions (confidence: 0.01); Cloud Groups (confidence: 0.01); SSH Hijacking (confidence: 0.01); Drive-by Compromise (confidence: 0.01); Web Services (confidence: 0.01); External Remote Services (confidence: 0.01); Exploitation of Remote Services (confidence: 0.01); Implant Internal Image (confidence: 0.01); System Information Discovery (confidence: 0.01); Modify Registry (confidence: 0.01); Create Snapshot (confidence: 0.01); Hybrid Identity (confidence: 0.01); Steal or Forge Authentication Certificates (confidence: 0.01); Multi-Factor Authentication Request Generation (confidence: 0.01); Use Alternate Authentication Material (confidence: 0.01); Cloud API (confidence: 0.01); Remote Services (confidence: 0.01); IIS Components (confidence: 0.01); LSASS Memory (confidence: 0.01); Code Repositories (confidence: 0.01); Compromise Client Software Binary (confidence: 0.01); Exploitation for Privilege Escalation (confidence: 0.01); Software Deployment Tools (confidence: 0.01); Additional Cloud Roles (confidence: 0.01); Account Manipulation (confidence: 0.01); Remote Email Collection (confidence: 0.01); Spearphishing Link (confidence: 0.0); System Shutdown/Reboot (confidence: 0.0); Cloud Account (confidence: 0.0); Internal Spearphishing (confidence: 0.0); LSA Secrets (confidence: 0.0); Account Access Removal (confidence: 0.0); Component Firmware (confidence: 0.0); Cached Domain Credentials (confidence: 0.0); Disk Content Wipe (confidence: 0.0); Scheduled Task (confidence: 0.0); Web Portal Capture (confidence: 0.0); Bootkit (confidence: 0.0); Additional Email Delegate Permissions (confidence: 0.0); Accessibility Features (confidence: 0.0); Pass the Hash (confidence: 0.0); Event Triggered Execution (confidence: 0.0); Linux and Mac File and Directory Permissions Modification (confidence: 0.0); Remote Desktop Protocol (confidence: 0.0); SMB/Windows Admin Shares (confidence: 0.0); NTDS (confidence: 0.0); Parent PID Spoofing (confidence: 0.0); Extra Window Memory Injection (confidence: 0.0); LLMNR/NBT-NS Poisoning and SMB Relay (confidence: 0.0); Golden Ticket (confidence: 0.0); Securityd Memory (confidence: 0.0); Create Process with Token (confidence: 0.0); Make and Impersonate Token (confidence: 0.0); Proc Filesystem (confidence: 0.0); Hidden File System (confidence: 0.0); Services Registry Permissions Weakness (confidence: 0.0); Credentials (confidence: 0.0); Network Trust Dependencies (confidence: 0.0); Business Relationships (confidence: 0.0); Identify Roles (confidence: 0.0); Domain Accounts (confidence: 0.0); Brute Force (confidence: 0.0); Multi-Stage Channels (confidence: 0.0); Taint Shared Content (confidence: 0.0); Network Device Authentication (confidence: 0.0); Network Device Configuration Dump (confidence: 0.0); System Network Connections Discovery (confidence: 0.0); Windows Management Instrumentation (confidence: 0.0); Network Sniffing (confidence: 0.0); Terminal Services DLL (confidence: 0.0); System Network Configuration Discovery (confidence: 0.0); Cloud Services (confidence: 0.0); Domain Trust Discovery (confidence: 0.0); Exploitation for Client Execution (confidence: 0.0); Kernel Modules and Extensions (confidence: 0.0); Data Encrypted for Impact (confidence: 0.0); AS-REP Roasting (confidence: 0.0); Pluggable Authentication Modules (confidence: 0.0); Disable or Modify Cloud Firewall (confidence: 0.0); Domains (confidence: 0.0); Cloud Service Discovery (confidence: 0.0); Query Registry (confidence: 0.0); Launch Daemon (confidence: 0.0); Exfiltration Over Other Network Medium (confidence: 0.0); Communication Through Removable Media (confidence: 0.0); Image File Execution Options Injection (confidence: 0.0); SQL Stored Procedures (confidence: 0.0); Modify Cloud Compute Infrastructure (confidence: 0.0); Process Injection (confidence: 0.0); Steal Web Session Cookie (confidence: 0.0); Change Default File Association (confidence: 0.0); Server Software Component (confidence: 0.0); CMSTP (confidence: 0.0); Systemd Service (confidence: 0.0); Boot or Logon Initialization Scripts (confidence: 0.0); System Owner/User Discovery (confidence: 0.0); Remote System Discovery (confidence: 0.0); XDG Autostart Entries (confidence: 0.0); Registry Run Keys / Startup Folder (confidence: 0.0); Data Destruction (confidence: 0.0); Logon Script (Windows) (confidence: 0.0); Clipboard Data (confidence: 0.0); Domain Policy Modification (confidence: 0.0); Web Shell (confidence: 0.0); Rogue Domain Controller (confidence: 0.0); Password Policy Discovery (confidence: 0.0); Network Logon Script (confidence: 0.0); Dynamic-link Library Injection (confidence: 0.0); Inhibit System Recovery (confidence: 0.0); Portable Executable Injection (confidence: 0.0); Thread Execution Hijacking (confidence: 0.0); Endpoint Denial of Service (confidence: 0.0); Browser Information Discovery (confidence: 0.0); Data from Information Repositories (confidence: 0.0); Transport Agent (confidence: 0.0); Network Share Discovery (confidence: 0.0); Asynchronous Procedure Call (confidence: 0.0); Thread Local Storage (confidence: 0.0); Ptrace System Calls (confidence: 0.0); Proc Memory (confidence: 0.0); Deobfuscate/Decode Files or Information (confidence: 0.0); Automated Collection (confidence: 0.0); VDSO Hijacking (confidence: 0.0); Screen Capture (confidence: 0.0); Fileless Storage (confidence: 0.0); Security Support Provider (confidence: 0.0); Search Open Websites/Domains (confidence: 0.0); DNS/Passive DNS (confidence: 0.0); WHOIS (confidence: 0.0); Search Open Technical Databases (confidence: 0.0); Vulnerability Scanning (confidence: 0.0); Scanning IP Blocks (confidence: 0.0); Active Scanning (confidence: 0.0); Search Victim-Owned Websites (confidence: 0.0); Search Engines (confidence: 0.0); Social Media (confidence: 0.0); Client Configurations (confidence: 0.0); Clear Linux or Mac System Logs (confidence: 0.0); Firmware (confidence: 0.0); Software (confidence: 0.0); Hardware (confidence: 0.0); Gather Victim Host Information (confidence: 0.0); Identify Business Tempo (confidence: 0.0); Determine Physical Locations (confidence: 0.0); Gather Victim Org Information (confidence: 0.0); Network Security Appliances (confidence: 0.0); IP Addresses (confidence: 0.0); Digital Certificates (confidence: 0.0); CDNs (confidence: 0.0); Scan Databases (confidence: 0.0); Search Closed Sources (confidence: 0.0); Cloud Administration Command (confidence: 0.0); Exfiltration to Text Storage Sites (confidence: 0.0); Code Repositories (confidence: 0.0); Serverless Execution (confidence: 0.0); Wordlist Scanning (confidence: 0.0); Reversible Encryption (confidence: 0.0); Cloud Storage Object Discovery (confidence: 0.0); Code Signing Policy Modification (confidence: 0.0); Container API (confidence: 0.0); Link Target (confidence: 0.0); Stage Capabilities (confidence: 0.0); Active Setup (confidence: 0.0); ROMMONkit (confidence: 0.0); Data from Configuration Repository (confidence: 0.0); Patch System Image (confidence: 0.0); ARP Cache Poisoning (confidence: 0.0); Vulnerabilities (confidence: 0.0); Purchase Technical Data (confidence: 0.0); Threat Intel Vendors (confidence: 0.0); Network Topology (confidence: 0.0); DNS (confidence: 0.0); Domain Properties (confidence: 0.0); OS Exhaustion Flood (confidence: 0.0); Token Impersonation/Theft (confidence: 0.0); Credentials from Web Browsers (confidence: 0.0); Dynamic Data Exchange (confidence: 0.0); Silver Ticket (confidence: 0.0); Chat Messages (confidence: 0.0); GUI Input Capture (confidence: 0.0); Keylogging (confidence: 0.0); Credentials from Password Stores (confidence: 0.0); DCSync (confidence: 0.0); Kerberoasting (confidence: 0.0); Security Account Manager (confidence: 0.0); Credential Stuffing (confidence: 0.0); Password Cracking (confidence: 0.0); Password Guessing (confidence: 0.0); Distributed Component Object Model (confidence: 0.0); Private Keys (confidence: 0.0); Timestomp (confidence: 0.0); Web Session Cookie (confidence: 0.0); Bypass User Account Control (confidence: 0.0); Email Forwarding Rule (confidence: 0.0); Application Exhaustion Flood (confidence: 0.0); Gather Victim Network Information (confidence: 0.0); Disk Wipe (confidence: 0.0); Employee Names (confidence: 0.0); Email Addresses (confidence: 0.0); Gather Victim Identity Information (confidence: 0.0); Email Accounts (confidence: 0.0); Compromise Accounts (confidence: 0.0); JavaScript (confidence: 0.0); Dylib Hijacking (confidence: 0.0); Protocol Tunneling (confidence: 0.0); Dynamic Linker Hijacking (confidence: 0.0); Executable Installer File Permissions Weakness (confidence: 0.0); Exfiltration Over Bluetooth (confidence: 0.0); Spearphishing via Service (confidence: 0.0); Spearphishing Attachment (confidence: 0.0); Phishing (confidence: 0.0); Runtime Data Manipulation (confidence: 0.0); Transmitted Data Manipulation (confidence: 0.0); Stored Data Manipulation (confidence: 0.0); Data Manipulation (confidence: 0.0); Disable or Modify Tools (confidence: 0.0); OS Credential Dumping (confidence: 0.0)
magic,Traffic Signaling,0.75,Masquerade File Type,0.25,
stack,Proc Memory,0.67,Endpoint Denial of Service,0.33,
Data,NTFS File Attributes,0.05,HTML Smuggling,0.05,Network Sniffing (confidence: 0.04); Inhibit System Recovery (confidence: 0.04); Adversary-in-the-Middle (confidence: 0.04); Local Data Staging (confidence: 0.04); Remote Data Staging (confidence: 0.04); Create Cloud Instance (confidence: 0.04); Account Access Removal (confidence: 0.04); Service Stop (confidence: 0.04); Data Destruction (confidence: 0.04); Data Staged (confidence: 0.04); Firmware Corruption (confidence: 0.02); Data from Cloud Storage (confidence: 0.02); Credentials from Web Browsers (confidence: 0.02); Event Triggered Execution (confidence: 0.02); Application Shimming (confidence: 0.02); Distributed Component Object Model (confidence: 0.02); Browser Information Discovery (confidence: 0.02); Clipboard Data (confidence: 0.02); Password Cracking (confidence: 0.02); Inter-Process Communication (confidence: 0.02); Dynamic Data Exchange (confidence: 0.02); Fileless Storage (confidence: 0.02); Local Email Collection (confidence: 0.02); Data from Configuration Repository (confidence: 0.02); Serverless Execution (confidence: 0.02); DHCP Spoofing (confidence: 0.02); Wordlist Scanning (confidence: 0.02); Resource Forking (confidence: 0.02); Safe Mode Boot (confidence: 0.02); Mark-of-the-Web Bypass (confidence: 0.02); ARP Cache Poisoning (confidence: 0.02); Application or System Exploitation (confidence: 0.02); Purchase Technical Data (confidence: 0.02); Search Closed Sources (confidence: 0.02); Mail Protocols (confidence: 0.02); File Transfer Protocols (confidence: 0.02); Disk Content Wipe (confidence: 0.02); Acquire Access (confidence: 0.02); Archive via Utility (confidence: 0.02)
object,Cloud Groups,0.14,Windows File and Directory Permissions Modification,0.14,VDSO Hijacking (confidence: 0.14); Regsvr32 (confidence: 0.09); MMC (confidence: 0.05); SNMP (MIB Dump) (confidence: 0.05); COR_PROFILER (confidence: 0.05); Component Object Model Hijacking (confidence: 0.05); Component Object Model (confidence: 0.05); Distributed Component Object Model (confidence: 0.05); Bypass User Account Control (confidence: 0.05); Data from Cloud Storage (confidence: 0.05); Rogue Domain Controller (confidence: 0.05); Drive-by Compromise (confidence: 0.05); Masquerading (confidence: 0.05)
injection,Ptrace System Calls,0.17,Proc Memory,0.14,Asynchronous Procedure Call (confidence: 0.14); Dynamic-link Library Injection (confidence: 0.11); Extra Window Memory Injection (confidence: 0.08); Thread Local Storage (confidence: 0.08); Portable Executable Injection (confidence: 0.08); Reflective Code Loading (confidence: 0.06); Process Injection (confidence: 0.06); Mavinject (confidence: 0.03); Template Injection (confidence: 0.03); Hardware Additions (confidence: 0.03)
